date,avgBikeDuration,avgBikeDistance,totalBikeTrips
2021-05-21,0 days 00:18:34.000354270,2.02924809772866,112908
2021-05-22,0 days 00:21:52.433598174,2.085807198911914,116548
2021-05-23,0 days 00:22:23.200780705,2.0545350739270156,107595
2021-05-24,0 days 00:16:31.568505966,1.9572981690280753,89255
2021-05-25,0 days 00:17:08.674269535,2.0200777724896013,107021
2021-05-26,0 days 00:17:35.787005822,1.9792715130818124,97890
2021-05-27,0 days 00:17:50.320091985,2.0089074749600955,112627
2021-05-28,0 days 00:16:30.959219745,1.8788993825193696,62800
2021-05-29,0 days 00:16:03.193319804,1.708541262713346,30059
2021-05-30,0 days 00:15:42.731056322,1.6163969501047075,17684
2021-05-31,0 days 00:20:26.630888498,2.0153791671920622,89263
2021-06-01,0 days 00:22:21.921846283,1.990597070402941,99573
2021-06-02,0 days 00:24:24.397358200,2.0025659474899005,106594
2021-06-03,0 days 00:22:40.902609639,1.8865220450870286,70048
2021-06-04,0 days 00:22:29.897027098,1.9351685385910433,86683
2021-06-05,0 days 00:44:01.132526051,2.061585808746958,121395
2021-06-06,0 days 00:35:38.375731902,1.9961634857717825,106230
2021-06-07,0 days 00:27:58.417806125,1.9315325626076483,98146
2021-06-08,0 days 00:22:06.817861198,1.869690867001119,74855
2021-06-09,0 days 00:26:51.364969617,1.9367341054733211,112234
2021-06-10,0 days 00:28:01.714102215,1.978516414443037,121449
2021-06-11,0 days 00:32:07.334766329,1.9305049204088502,108165
2021-06-12,0 days 00:37:29.263368367,2.063145125064275,117030
2021-06-13,0 days 00:35:44.515307166,2.036234169585134,102599
2021-06-14,0 days 00:30:36.789533453,1.8883734567440982,84536
2021-06-15,0 days 00:31:11.515555555,2.0014353380888132,119250
2021-06-16,0 days 00:25:26.749973424,2.0021560402464402,122295
2021-06-17,0 days 00:23:37.853589319,1.9794583087029798,121569
2021-06-18,0 days 00:28:16.319535362,1.958426211061138,123279
2021-06-19,0 days 00:29:37.999033313,2.003417315897669,107584
2021-06-20,0 days 00:31:13.753478774,2.0211254820698485,107581
2021-06-21,0 days 00:23:10.570707318,1.9084562432501517,102005
2021-06-22,0 days 00:16:03.145576233,1.848746127083967,75603
2021-06-23,0 days 00:17:49.790287190,1.9808423261823482,123507
2021-06-24,0 days 00:18:08.604281705,1.9831152476813134,120793
2021-06-25,0 days 00:17:58.385861182,1.964147656174393,116700
2021-06-26,0 days 00:22:11.374364054,2.002611606434038,119114
2021-06-27,0 days 00:22:58.243510383,1.9694701926903773,110176
2021-06-28,0 days 00:17:41.945155411,1.8660059212938713,98770
2021-06-29,0 days 00:16:42.368275021,1.848808887219779,103439
2021-06-30,0 days 00:16:12.619804085,1.8004584437875164,96879
2021-07-01,0 days 00:15:28.163570084,1.8033118932484165,68032
2021-07-02,0 days 00:17:41.332297819,1.8274407706477818,78222
2021-07-03,0 days 00:18:55.099334364,1.844709994069057,68506
2021-07-04,0 days 00:25:04.079715708,2.0156484923234,101586
2021-07-05,0 days 00:21:58.916023826,1.9942329893721447,97873
2021-07-06,0 days 00:16:33.396486469,1.8435405521936528,77415
2021-07-07,0 days 00:16:49.604881554,1.8896225804913507,102959
2021-07-08,0 days 00:15:39.317347456,1.8300164546457691,74962
2021-07-09,0 days 00:18:01.404396443,1.8524752539245388,86388
2021-07-10,0 days 00:21:03.175577123,2.019803847386791,109422
2021-07-11,0 days 00:24:09.191367865,1.9767458866191616,103497
2021-07-12,0 days 00:16:13.337780555,1.8688518403630945,87995
2021-07-13,0 days 00:17:07.163652905,1.923291753479589,105516
2021-07-14,0 days 00:16:29.327626790,1.9069371429605224,110458
2021-07-15,0 days 00:16:48.577101204,1.8942447561394051,112495
2021-07-16,0 days 00:18:25.546375473,1.8673727464951437,108290
2021-07-17,0 days 00:23:32.061526139,1.890839038479711,82404
2021-07-18,0 days 00:22:24.970888457,1.9681508278018005,99926
2021-07-19,0 days 00:17:24.141322643,1.9123012679008096,102779
2021-07-20,0 days 00:16:52.448329002,1.8987383333361312,111610
2021-07-21,0 days 00:17:50.200270312,1.9042542128250282,108763
2021-07-22,0 days 00:19:55.697280145,1.9159915120976965,118499
2021-07-23,0 days 00:18:00.037627630,1.8912049868603709,112630
2021-07-24,0 days 00:23:35.631208334,1.9760517265434476,125255
2021-07-25,0 days 00:19:55.472000734,1.9213269725562832,98074
2021-07-26,0 days 00:18:06.103889928,1.855496817873544,98845
2021-07-27,0 days 00:16:35.993184214,1.8592734599372218,106224
2021-07-28,0 days 00:16:46.981715230,1.9113275545701558,112498
2021-07-29,0 days 00:16:27.440623398,1.7894699010702693,76099
2021-07-30,0 days 00:17:58.918520182,1.8932299904818293,115771
2021-07-31,0 days 00:20:56.761583320,2.00802998455298,121921
2021-08-01,0 days 00:20:05.879075613,1.9241004699995876,94679
2021-08-02,0 days 00:16:48.164485347,1.89954830502336,103225
2021-08-03,0 days 00:16:34.765114529,1.905976020229083,108968
2021-08-04,0 days 00:16:25.015653893,1.8993421678805589,109238
2021-08-05,0 days 00:16:34.421172837,1.896441940424484,109461
2021-08-06,0 days 00:17:44.127395169,1.8606838767550757,109439
2021-08-07,0 days 00:21:28.625885863,1.9875599736406824,115283
2021-08-08,0 days 00:20:20.891359366,1.8789221374210638,75469
2021-08-09,0 days 00:16:48.423858762,1.8654131684468065,96518
2021-08-10,0 days 00:16:49.028752993,1.8447279440380842,92686
2021-08-11,0 days 00:17:11.850056162,1.8219856585884069,97930
2021-08-12,0 days 00:16:37.873344155,1.8112369254318685,99798
2021-08-13,0 days 00:17:42.209534805,1.7910945571413361,98733
2021-08-14,0 days 00:20:15.128832874,1.9440244389106036,111796
2021-08-15,0 days 00:20:48.323378321,1.941383014468,108622
2021-08-16,0 days 00:20:35.990462416,1.8637196843144932,102332
2021-08-17,0 days 00:16:16.344801265,1.8709069791028805,107430
2021-08-18,0 days 00:16:11.988989120,1.860626856590511,106531
2021-08-19,0 days 00:16:02.944980639,1.8559953936454099,104854
2021-08-20,0 days 00:17:17.759105830,1.8520034655900408,102352
2021-08-21,0 days 00:21:48.360512884,1.941311788252244,96396
2021-08-22,0 days 00:17:39.167476187,1.6882408108729021,15853
2021-08-23,0 days 00:17:01.390445089,1.7665557516497505,76861
2021-08-24,0 days 00:18:06.298535049,1.8661306130524673,109287
2021-08-25,0 days 00:17:04.487251089,1.8472018916271233,106715
2021-08-26,0 days 00:16:50.863658282,1.8386481167624071,103688
2021-08-27,0 days 00:16:45.163329951,1.7758864282280782,88710
2021-08-28,0 days 00:20:35.416255378,1.9259397288879454,104347
2021-08-29,0 days 00:20:29.302025800,1.952019964261849,102478
2021-08-30,0 days 00:16:13.642016308,1.8384172382722992,101175
2021-08-31,0 days 00:16:07.371042784,1.8673649320119494,111979
2021-09-01,0 days 00:14:55.191761671,1.6759736573877075,50787
2021-09-02,0 days 00:19:25.307017197,2.0751583196478953,126475
2021-09-03,0 days 00:18:31.196145055,1.9371190447625124,115073
2021-09-04,0 days 00:21:49.906934758,2.0072951364977984,109117
2021-09-05,0 days 00:20:35.316329562,1.9255740290673737,87510
2021-09-06,0 days 00:21:24.684484234,1.9495727471879527,106337
2021-09-07,0 days 00:17:00.278423597,1.896479046662312,106927
2021-09-08,0 days 00:16:01.678104228,1.8749485190483255,113136
2021-09-09,0 days 00:15:15.979550312,1.7829266756881517,77654
2021-09-10,0 days 00:17:42.391120974,1.885789732515226,126613
2021-09-11,0 days 00:21:40.862456676,2.0251044314073208,133587
2021-09-12,0 days 00:21:09.764058074,1.9590547250186696,117228
2021-09-13,0 days 00:18:39.649137207,1.8677973059110484,105993
2021-09-14,0 days 00:16:21.577683997,1.9054867889026457,118480
2021-09-15,0 days 00:16:32.422225601,1.8752264233194749,118368
2021-09-16,0 days 00:15:53.163913642,1.8512402589610184,109637
2021-09-17,0 days 00:16:31.115747524,1.847344654906271,111916
2021-09-18,0 days 00:20:20.876174278,1.9720557925499045,124651
2021-09-19,0 days 00:20:20.031733493,1.9940643754717138,116470
2021-09-20,0 days 00:15:57.874407648,1.8841730366619929,109099
2021-09-21,0 days 00:16:20.968986223,1.8951598558241685,113240
2021-09-22,0 days 00:15:27.758392280,1.8743938704992258,113378
2021-09-23,0 days 00:15:16.251458347,1.7868044403558319,86742
2021-09-24,0 days 00:16:55.670943305,1.870556169091684,115901
2021-09-25,0 days 00:21:02.129871478,1.9964356029769768,125193
2021-09-26,0 days 00:20:16.149903134,1.9589561471400798,113560
2021-09-27,0 days 00:16:17.758901236,1.8714062272938738,106811
2021-09-28,0 days 00:15:32.737277076,1.8541698747257291,96558
2021-09-29,0 days 00:16:44.497373045,1.8887943980379005,111536
2021-09-30,0 days 00:16:22.189495749,1.868858458839505,112583
2021-10-01,0 days 00:18:12.511784715,1.8583870230193116,115828
2021-10-02,0 days 00:21:05.923956556,1.9894590960609402,120155
2021-10-03,0 days 00:20:49.466510932,1.960289293807185,108304
2021-10-04,0 days 00:15:22.175118525,1.7480740495074412,73613
2021-10-05,0 days 00:16:24.239724050,1.8521698104152722,103932
2021-10-06,0 days 00:16:41.388625378,1.8695378359974268,110685
2021-10-07,0 days 00:16:30.706194997,1.8952333062480444,115335
2021-10-08,0 days 00:19:36.747349060,1.8694485484743342,115808
2021-10-09,0 days 00:21:18.481261159,1.9166817288206832,108091
2021-10-10,0 days 00:18:40.293546248,1.7839835748231883,69386
2021-10-11,0 days 00:17:49.502154086,1.840499885038647,97257
2021-10-12,0 days 00:17:37.147303211,1.8521172804299286,108314
2021-10-13,0 days 00:16:04.697578516,1.8531156660911343,109850
2021-10-14,0 days 00:18:13.867515781,1.8907620892036427,116278
2021-10-15,0 days 00:19:31.554312869,1.8647234542016637,118471
2021-10-16,0 days 00:20:30.031266688,1.8909980761040133,99243
2021-10-17,0 days 00:18:58.037816420,1.889907930837337,90860
2021-10-18,0 days 00:14:36.630838124,1.7600782108017596,87314
2021-10-19,0 days 00:15:31.476637567,1.8387435739751128,100118
2021-10-20,0 days 00:15:39.659739703,1.8711783372375488,112026
