date,avgTaxiDuration,avgTaxiDistance,totalTaxiTrips
2021-04-27,0 days 00:15:13.182698970,15.207132604937172,76481
2021-04-28,0 days 00:15:53.545846249,27.04251524838721,83551
2021-04-29,0 days 00:16:25.121420751,9.686762126373921,82210
2021-04-30,0 days 00:16:27.617912190,11.336233488388958,89079
2021-05-01,0 days 00:14:39.159255954,18.771822683299874,80694
2021-05-02,0 days 00:14:46.544367340,11.021084896766574,60957
2021-05-03,0 days 00:15:07.610209803,30.51309923007135,75261
2021-05-04,0 days 00:15:20.613234603,10.290543393042748,80894
2021-05-05,0 days 00:16:05.558598103,12.040716276417122,87025
2021-05-06,0 days 00:16:39.361515507,15.775362895695814,88472
2021-05-07,0 days 00:16:49.041728456,15.380487622021366,92383
2021-05-08,0 days 00:14:34.190325039,12.205306076389949,80021
2021-05-09,0 days 00:15:35.609500318,10.200359477755542,64461
2021-05-10,0 days 00:15:14.085481919,11.256506671670923,74390
2021-05-11,0 days 00:15:41.442992646,22.57686609341062,83498
2021-05-12,0 days 00:15:41.920384035,11.021908294993496,86867
2021-05-13,0 days 00:16:02.542501242,17.63535996637464,82527
2021-05-14,0 days 00:17:05.009598132,10.053643765141919,92518
2021-05-15,0 days 00:15:39.794902380,10.964594326835087,88865
2021-05-16,0 days 00:15:00.919154641,24.06773885086916,66386
2021-05-17,0 days 00:14:25.592466631,5.029168712746805,74097
2021-05-18,0 days 00:15:23.904048506,15.563114762360213,84772
2021-05-19,0 days 00:16:28.705311187,6.093684239537985,90733
2021-05-20,0 days 00:17:44.510135608,13.511057511935098,92693
2021-05-21,0 days 00:16:56.788616515,13.163648636423778,94927
2021-05-22,0 days 00:15:25.037146927,9.208430622853715,93359
2021-05-23,0 days 00:14:56.614485131,8.980811862942344,71494
2021-05-24,0 days 00:15:22.727344201,19.295792260575162,81403
2021-05-25,0 days 00:16:41.818571348,5.93658895719231,88685
2021-05-26,0 days 00:17:19.361606186,7.785258955828799,93364
2021-05-27,0 days 00:17:33.130625223,14.906489688867978,92463
2021-05-28,0 days 00:17:09.525730987,18.288699982024134,87929
2021-05-29,0 days 00:14:28.979121116,13.151489756539279,64946
2021-05-30,0 days 00:14:38.465339233,10.380766984963127,54240
2021-05-31,0 days 00:15:17.688698382,18.624499413677654,56691
2021-06-01,0 days 00:16:37.164494261,15.843348537862632,86003
2021-06-02,0 days 00:16:55.154648864,6.192948626185307,92571
2021-06-03,0 days 00:16:38.703566691,9.43647492081779,96504
2021-06-04,0 days 00:17:21.100900731,7.78356704264089,95589
2021-06-05,0 days 00:15:39.794597021,14.865376329434698,97983
2021-06-06,0 days 00:15:31.801901253,9.200534983566266,77633
2021-06-07,0 days 00:15:38.272164646,8.287534546510033,88869
2021-06-08,0 days 00:17:07.118204383,9.156315069585423,94675
2021-06-09,0 days 00:16:50.984821679,6.535414981265329,99484
2021-06-10,0 days 00:16:59.504611419,18.732370600040394,103981
2021-06-11,0 days 00:16:49.405274559,13.09459073122934,98321
2021-06-12,0 days 00:15:54.707342251,9.395667686351011,93963
2021-06-13,0 days 00:15:53.478762333,11.190936901133037,73784
2021-06-14,0 days 00:15:46.329621918,7.591095492437227,86939
2021-06-15,0 days 00:16:52.384809971,16.99846472584508,98038
2021-06-16,0 days 00:16:42.024008769,12.246071198248035,102171
2021-06-17,0 days 00:18:42.271221009,10.582919119486421,102964
2021-06-18,0 days 00:18:40.190142836,14.075118340176171,98994
2021-06-19,0 days 00:15:40.951330830,15.99980317208265,96406
2021-06-20,0 days 00:16:01.760023093,11.618526739531722,77945
2021-06-21,0 days 00:15:54.246539011,8.142591834081655,90870
2021-06-22,0 days 00:16:44.442884698,13.989408541675841,99019
2021-06-23,0 days 00:17:32.070188055,10.783882113603187,102895
2021-06-24,0 days 00:18:25.836581007,16.715471068272823,104639
2021-06-25,0 days 00:18:21.290055569,7.790761437632389,103294
2021-06-26,0 days 00:17:09.289603809,11.23524918933225,98690
2021-06-27,0 days 00:17:26.841671297,8.089091051790584,77377
2021-06-28,0 days 00:16:25.500999530,8.342165773736932,91543
2021-06-29,0 days 00:16:33.633238389,8.958100030702587,101112
2021-06-30,0 days 00:16:36.152181380,9.479770475381066,101885
2021-07-01,0 days 00:17:50.098422511,17.83567367964613,93820
2021-07-02,0 days 00:16:34.998777743,26.51924583827376,87543
2021-07-03,0 days 00:14:51.652052868,15.081813952002248,71120
2021-07-04,0 days 00:16:39.500900186,11.444893061156533,60543
2021-07-05,0 days 00:15:35.355966505,13.941420676155605,64728
2021-07-06,0 days 00:15:56.820816937,13.808299832284028,89456
2021-07-07,0 days 00:16:02.450051440,11.100872006868315,97200
2021-07-08,0 days 00:17:40.498308274,9.090987552206645,94578
2021-07-09,0 days 00:16:43.858631190,14.0367706145643,93585
2021-07-10,0 days 00:16:51.837658393,10.390323221224943,93833
2021-07-11,0 days 00:16:07.881376241,8.151726673539093,75946
2021-07-12,0 days 00:15:50.196798360,9.987829362904327,84894
2021-07-13,0 days 00:15:50.755203858,7.547214909012431,96611
2021-07-14,0 days 00:16:25.144110730,10.125745633081614,104614
2021-07-15,0 days 00:17:59.426364854,8.866620175205224,105982
2021-07-16,0 days 00:18:06.682986084,11.894294382717872,102904
2021-07-17,0 days 00:16:31.619077123,13.565336156674789,95224
2021-07-18,0 days 00:16:22.349597383,8.919719888105055,77369
2021-07-19,0 days 00:16:13.882345005,7.10375810515654,88955
2021-07-20,0 days 00:15:31.073761444,17.34802896630089,92406
2021-07-21,0 days 00:16:15.628426871,15.894799668524193,98231
2021-07-22,0 days 00:17:36.924248693,12.882800537968995,103919
2021-07-23,0 days 00:17:35.363061698,11.169438764435018,99030
2021-07-24,0 days 00:17:09.874080350,13.312716719265996,93242
2021-07-25,0 days 00:16:18.625302719,22.360079232965,75565
2021-07-26,0 days 00:16:04.189398444,14.066284950253033,89119
2021-07-27,0 days 00:15:42.516485286,11.690027133046078,99331
2021-07-28,0 days 00:16:01.894001865,11.357653444108706,99681
2021-07-29,0 days 00:16:49.134768484,12.05439566933844,99734
2021-07-30,0 days 00:17:43.864843876,7.418136775455866,99152
2021-07-31,0 days 00:16:43.231444464,12.584514433315826,93301
2021-08-01,0 days 00:16:24.746865418,24.091647974934297,73056
2021-08-02,0 days 00:16:09.676306059,7.908028498028906,83304
2021-08-03,0 days 00:16:35.640964753,10.545375404925993,93910
2021-08-04,0 days 00:16:07.521078361,12.72533026335781,97778
2021-08-05,0 days 00:16:29.740000604,10.185838046126587,99331
2021-08-06,0 days 00:17:45.786555205,25.547038834940523,97852
2021-08-07,0 days 00:16:24.395012688,16.9488012338762,90630
2021-08-08,0 days 00:16:13.611747639,6.235041303856331,74449
2021-08-09,0 days 00:15:29.428894829,6.945236550482865,83046
2021-08-10,0 days 00:15:57.973662372,12.413145989570756,96402
2021-08-11,0 days 00:16:07.588973972,9.727771809738533,100816
2021-08-12,0 days 00:17:47.207140913,15.39463467224983,99203
2021-08-13,0 days 00:17:18.502733894,12.6886242127918,99126
2021-08-14,0 days 00:15:54.910988530,12.681014001435281,91550
2021-08-15,0 days 00:16:21.241703878,10.097925589069558,76813
2021-08-16,0 days 00:16:16.385208705,15.264097192953514,82197
2021-08-17,0 days 00:15:31.062027924,10.551734034653238,91749
2021-08-18,0 days 00:16:32.778944186,16.650616065669368,95926
2021-08-19,0 days 00:17:11.722649967,9.24247336359963,99488
2021-08-20,0 days 00:16:57.500926784,10.681221906872304,99268
2021-08-21,0 days 00:16:15.150000507,9.260624576120795,98613
2021-08-22,0 days 00:15:09.201964429,13.406572006558116,53247
2021-08-23,0 days 00:15:58.103747431,9.352695283913764,80802
2021-08-24,0 days 00:16:52.256974598,7.998988107362402,93733
2021-08-25,0 days 00:16:17.054293493,11.798369804521071,98428
2021-08-26,0 days 00:17:06.287251295,11.261242224595545,101124
2021-08-27,0 days 00:17:37.737321654,11.498373547364933,96582
2021-08-28,0 days 00:16:32.521728383,11.397913690908682,89008
2021-08-29,0 days 00:18:44.070305437,11.112414227867417,73010
2021-08-30,0 days 00:15:59.789827243,16.055330317683424,84107
2021-08-31,0 days 00:16:42.484303448,13.403486700511298,93683
2021-09-01,0 days 00:16:41.771506352,6.602509937760889,88160
2021-09-02,0 days 00:20:06.543791621,13.629127079291086,93100
2021-09-03,0 days 00:18:55.085579838,10.97806072480393,95630
2021-09-04,0 days 00:16:21.496729811,10.951742763251888,88527
